Probe,Span,Theta (radians),Pressure (kPa),Static Pressure (kPa),,Color,(Pinf-P)/qi,,Dark Blue,1.801,,1.945
,0.156,2.443460953,0,,,White,0,,,,,
,0.2615,2.443460953,0,,,White,0,,,,,
,0.367,2.443460953,0,,,White,0,,,,,
,0.4725,2.443460953,0,,,White,0,,,,,
,0.578,2.443460953,0.07,,,Pink,0.07,,,,,
,0.6835,2.443460953,0.07,,,Pink,0.07,,,,,
,0.789,2.443460953,0.07,,,Pink,0.07,,,,,
,0.8945,2.443460953,0.07,,,Pink,0.07,,,,,
,1,2.443460953,0.07,,,Pink,0.07,,,,,
20,0,2.530727415,0,,,White,0,,,,,
,0.156,2.530727415,0,,,White,0,,,,,
,0.2615,2.530727415,0,,,White,0,,,,,
,0.367,2.530727415,0,,,White,0,,,,,
,0.4725,2.530727415,0,,,White,0,,,,,
,0.578,2.530727415,0.07,,,Pink,0.07,,,,,
,0.6835,2.530727415,0.36,,,Red,0.36,,,,,
,0.789,2.530727415,0.65,,,Orange,0.65,,,,,
,0.8945,2.530727415,0.36,,,Red,0.36,,,,,
,1,2.530727415,0.36,,,Red,0.36,,,,,
21,0,2.617993878,0,,,White,0,,,,,
,0.156,2.617993878,0,,,White,0,,,,,
,0.2615,2.617993878,0,,,White,0,,,,,
,0.367,2.617993878,0,,,White,0,,,,,
,0.4725,2.617993878,0.07,,,Pink,0.07,,,,,
,0.578,2.617993878,0.07,,,Pink,0.07,,,,,
,0.6835,2.617993878,0.94,,,Yellow,0.94,,,,,
,0.789,2.617993878,1.22,,,Green,1.22,,,,,
,0.8945,2.617993878,0.65,,,Orange,0.65,,,,,
,1,2.617993878,0.36,,,Red,0.36,,,,,
22,0,2.705260341,0,,,White,0,,,,,
,0.156,2.705260341,0,,,White,0,,,,,
,0.2615,2.705260341,0,,,White,0,,,,,
,0.367,2.705260341,0,,,White,0,,,,,
,0.4725,2.705260341,0.07,,,Pink,0.07,,,,,
,0.578,2.705260341,0.07,,,Pink,0.07,,,,,
,0.6835,2.705260341,1.22,,,Green,1.22,,,,,
,0.789,2.705260341,1.51,,,Light Blue,1.51,,,,,
,0.8945,2.705260341,0.94,,,Yellow,0.94,,,,,
,1,2.705260341,0.36,,,Red,0.36,,,,,
23,0,2.792526803,0,,,White,0,,,,,
,0.156,2.792526803,0,,,White,0,,,,,
,0.2615,2.792526803,0,,,White,0,,,,,
,0.367,2.792526803,0,,,White,0,,,,,
,0.4725,2.792526803,0.07,,,Pink,0.07,,,,,
,0.578,2.792526803,0.07,,,Pink,0.07,,,,,
,0.6835,2.792526803,1.22,,,Green,1.22,,,,,
,0.789,2.792526803,1.51,,,Light Blue,1.51,,,,,
,0.8945,2.792526803,1.22,,,Green,1.22,,,,,
,1,2.792526803,0.36,,,Red,0.36,,,,,
24,0,2.879793266,0,,,White,0,,,,,
,0.156,2.879793266,0,,,White,0,,,,,
,0.2615,2.879793266,0,,,White,0,,,,,
,0.367,2.879793266,0,,,White,0,,,,,
,0.4725,2.879793266,0.07,,,Pink,0.07,,,,,
,0.578,2.879793266,0.07,,,Pink,0.07,,,,,
,0.6835,2.879793266,1.22,,,Green,1.22,,,,,
,0.789,2.879793266,1.51,,,Light Blue,1.51,,,,,
,0.8945,2.879793266,1.22,,,Green,1.22,,,,,
,1,2.879793266,0.36,,,Red,0.36,,,,,
25,0,2.967059728,0,,,White,0,,,,,
,0.156,2.967059728,0,,,White,0,,,,,
,0.2615,2.967059728,0,,,White,0,,,,,
,0.367,2.967059728,0,,,White,0,,,,,
,0.4725,2.967059728,0,,,White,0,,,,,
,0.578,2.967059728,0.07,,,Pink,0.07,,,,,
,0.6835,2.967059728,0.94,,,Yellow,0.94,,,,,
,0.789,2.967059728,1.51,,,Light Blue,1.51,,,,,
,0.8945,2.967059728,0.94,,,Yellow,0.94,,,,,
,1,2.967059728,0.36,,,Red,0.36,,,,,
26,0,3.054326191,0,,,White,0,,,,,
,0.156,3.054326191,0,,,White,0,,,,,
,0.2615,3.054326191,0,,,White,0,,,,,
,0.367,3.054326191,0,,,White,0,,,,,
,0.4725,3.054326191,0,,,White,0,,,,,
,0.578,3.054326191,0.07,,,Pink,0.07,,,,,
,0.6835,3.054326191,0.36,,,Red,0.36,,,,,
,0.789,3.054326191,0.36,,,Red,0.36,,,,,
,0.8945,3.054326191,0.36,,,Red,0.36,,,,,
,1,3.054326191,0.07,,,Pink,0.07,,,,,
27,0,3.141592654,0,,,White,0,,,,,
,0.156,3.141592654,0,,,White,0,,,,,
,0.2615,3.141592654,0,,,White,0,,,,,
,0.367,3.141592654,0,,,White,0,,,,,
,0.4725,3.141592654,0,,,White,0,,,,,
,0.578,3.141592654,0,,,White,0,,,,,
,0.6835,3.141592654,0.07,,,Pink,0.07,,,,,
,0.789,3.141592654,0.07,,,Pink,0.07,,,,,
,0.8945,3.141592654,0.07,,,Pink,0.07,,,,,
,1,3.141592654,0.07,,,Pink,0.07,,,,,
28,0,3.228859116,0,,,White,0,,,,,
